Mod:Item:MetaData, Localized Name
divinerpg:frozen_maul, Заморожённый молот
divinerpg:glacier_sword, Ледниковый меч
divinerpg:icine_sword, Ледяной меч
divinerpg:snowslash, Ледяная черта
divinerpg:icicle_bane, Снежная отрава
divinerpg:frossivence, Фростсивенс
divinerpg:snowstorm_bow, Лук метели
divinerpg:icicle_bow, Лук из сосулек
divinerpg:snowflake_shuriken, Снежный сюрикен
divinerpg:fractite_cannon, Фрактайтовая пушка
divinerpg:frostclaw_cannon, Ледяноклешневая пушка
divinerpg:sound_of_music, Звук музыки
divinerpg:sound_of_carols, Звук Каролса
divinerpg:serenade_of_ice, Серенада льда
divinerpg:eden_blade, Клинок Эдема
divinerpg:wildwood_blade, Клинок Дикого леса
divinerpg:apalachia_blade, Клинок Апалачии
divinerpg:skythern_blade, Клинок Небесного тёрна
divinerpg:mortum_blade, Клинок Мортума
divinerpg:halite_blade, Халитовый клинок
divinerpg:eden_bow, Лук Эдема
divinerpg:wildwood_bow, Лук Дикого леса
divinerpg:apalachia_bow, Лук Апалачии
divinerpg:skythern_bow, Лук Небесного тёрна
divinerpg:mortum_bow, Лук Мортума
divinerpg:halite_bow, Халитовый лук
divinerpg:twilight_bow, Сумеречный лук
divinerpg:eden_slicer, Ломтерезка Эдема
divinerpg:wildwood_slicer, Ломтерезка Дикого леса
divinerpg:apalachia_slicer, Ломтерезка Апалачии
divinerpg:skythern_slicer, Ломтерезка Небесного тёрна
divinerpg:mortum_slicer, Ломтерезка Мортума
divinerpg:halite_slicer, Халитовая ломтерезка
divinerpg:eden_blitz, Блиц Эдема
divinerpg:wildwood_blitz, Блиц Дикого леса
divinerpg:apalachia_blitz, Блиц Апалачии
divinerpg:skythern_blitz, Блиц Небесного тёрна
divinerpg:mortum_blitz, Блиц Мортума
divinerpg:halite_blitz, Халитовый блиц
divinerpg:eden_phaser, Фазер Эдема
divinerpg:wildwood_phaser, Фазер Дикого леса
divinerpg:apalachia_phaser, Фазер Апалачии
divinerpg:skythern_phaser, Фазер Небесного тёрна
divinerpg:mortum_phaser, Фазер Мортума
divinerpg:halite_phaser, Халитовый фазер
divinerpg:arcanite_blade, Клинок Арканы
divinerpg:arcanium_saber, Сабля Арканы
divinerpg:ender_scepter, Скипетр края
divinerpg:livicia_sword, Меч Ливиции
divinerpg:storm_sword, Меч бури
divinerpg:shadow_saber, Теневая сабля
divinerpg:arcanite_blaster, Аркановый взрыватель
divinerpg:captains_sparkler, Меч капитана
divinerpg:firefly, Светлячок
divinerpg:generals_staff, Жезл генерала
divinerpg:la_vekor, ЛаВекор
divinerpg:meriks_missile, Массив Мерика
divinerpg:meteor_mash, Метеоритное месиво
divinerpg:starlight, Звездный свет
divinerpg:staff_of_starlight, Посох звездного света
divinerpg:grenade, Граната
divinerpg:teaker_backsword, Палаш Тикера
divinerpg:amthirmis_backsword, Палаш Амзирмиса
divinerpg:darven_backsword, Палаш Дарвена
divinerpg:cermile_backsword, Палаш Сермила
divinerpg:pardimal_backsword, Палаш Пардимала
divinerpg:quadrotic_backsword, Палаш Квадротика
divinerpg:karos_backsword, Палаш Кароса
divinerpg:heliosis_backsword, Палаш Хелиосиса
divinerpg:arksiane_backsword, Палаш Арксиана
divinerpg:teaker_bow, Лук Тикера
divinerpg:amthirmis_bow, Лук Амзирмиса
divinerpg:darven_bow, Лук Дарвена
divinerpg:cermile_bow, Лук Сермила
divinerpg:pardimal_bow, Лук Пардимала
divinerpg:quadrotic_bow, Боевой лук Квадротика
divinerpg:karos_bow, Боевой лук Кароса
divinerpg:heliosis_bow, Яростный лук Хелиосиса
divinerpg:arksiane_bow, Яростный лук Арксиана
divinerpg:everfright, Всепугающий
divinerpg:teaker_cannon, Пушка Тикера
divinerpg:amthirmis_cannon, Пушка Амзирмиса
divinerpg:darven_cannon, Пушка Дарвена
divinerpg:cermile_cannon, Пушка Сермила
divinerpg:pardimal_cannon, Пушка Пардимала
divinerpg:quadrotic_cannon, Боевая пушка Квадротика
divinerpg:karos_cannon, Боевая пушка Кароса
divinerpg:heliosis_cannon, Яростная пушка Хелиосиса
divinerpg:arksiane_cannon, Яростная пушка Арксиана
divinerpg:eversight, Массовозрелищный
divinerpg:teaker_claw, Коготь Тикера
divinerpg:amthirmis_claw, Коготь Амзирмиса
divinerpg:darven_claw, Коготь Дарвена
divinerpg:cermile_claw, Коготь Сермила
divinerpg:pardimal_claw, Коготь Пардимала
divinerpg:quadrotic_claw, Коготь Квадротика
divinerpg:karos_claw, Коготь Кароса
divinerpg:heliosis_claw, Коготь Хелиосиса
divinerpg:arksiane_claw, Коготь Арксиана
divinerpg:everbright, Всесветный
divinerpg:teaker_disk, Диск Тикера
divinerpg:amthirmis_disk, Диск Амчирмиса
divinerpg:darven_disk, Диск Дарвена
divinerpg:cermile_disk, Диск Цермайла
divinerpg:pardimal_disk, Диск Пардимала
divinerpg:quadrotic_disk, Диск Квадротика
divinerpg:karos_disk, Диск Кароса
divinerpg:heliosis_disk, Диск Гелиосиса
divinerpg:arksiane_disk, Диск Аксиана
divinerpg:teaker_hammer, Молот Тикера
divinerpg:amthirmis_hammer, Молот Амзирмиса
divinerpg:darven_hammer, Молот Дарвена
divinerpg:cermile_hammer, Молот Сермила
divinerpg:pardimal_hammer, Молот Пардимала
divinerpg:quadrotic_hammer, Молот Квадротика
divinerpg:karos_hammer, Молот Кароса
divinerpg:heliosis_hammer, Молот Хелиосиса
divinerpg:arksiane_hammer, Молот Арксиана
divinerpg:everlight, Молниеносный
divinerpg:karos_rockmaul, Молот Кароса
divinerpg:teaker_staff, Посох Тикера
divinerpg:amthirmis_staff, Посох Амчирмиса
divinerpg:darven_staff, Посох Дарвена
divinerpg:cermile_staff, Посох Цермайла
divinerpg:pardimal_staff, Посох Пардимала
divinerpg:quadrotic_staff, Посох Квадротика
divinerpg:karos_staff, Посох Кароса
divinerpg:heliosis_staff, Посох Гелиосиса
divinerpg:arksiane_staff, Посох Аксиана
divinerpg:evernight, Всенощный
divinerpg:angelic_helmet, Ангельский шлем
divinerpg:angelic_chestplate, Ангельская кираса
divinerpg:angelic_leggings, Ангельские поножи
divinerpg:angelic_boots, Ангельские ботинки
divinerpg:aquastrive_helmet, Водяной шлем
divinerpg:aquastrive_chestplate, Водяная кираса
divinerpg:aquastrive_leggings, Водяные поножи
divinerpg:aquastrive_boots, Водяные ботинки
divinerpg:arlemite_helmet, Арлемитовый шлем
divinerpg:arlemite_chestplate, Арлемитовая кираса
divinerpg:arlemite_leggings, Арлемитовые поножи
divinerpg:arlemite_boots, Арлемитовые ботинки
divinerpg:bedrock_helmet, Шлем из коренной породы
divinerpg:bedrock_chestplate, Кираса из коренной породы
divinerpg:bedrock_leggings, Поножи из коренной породы
divinerpg:bedrock_boots, Ботинки из коренной породы
divinerpg:corrupted_helmet, Повреждённый шлем
divinerpg:corrupted_chestplate, Повреждённая кираса
divinerpg:corrupted_leggings, Повреждённые поножи
divinerpg:corrupted_boots, Повреждённые ботинки
divinerpg:divine_helmet, Божественный шлем
divinerpg:divine_chestplate, Божественная кираса
divinerpg:divine_leggings, Божественные поножи
divinerpg:divine_boots, Божественные ботинки
divinerpg:elite_realmite_helmet, Элитный реалмитовый шлем
divinerpg:elite_realmite_chestplate, Элитная реалмитовая кираса
divinerpg:elite_realmite_leggings, Элитные реалмитовые поножи
divinerpg:elite_realmite_boots, Элитные реалмитовые ботинки
divinerpg:ender_helmet, Шлем Края
divinerpg:ender_chestplate, Кираса Края
divinerpg:ender_leggings, Поножи Края
divinerpg:ender_boots, Ботинки Края
divinerpg:blue_ender_helmet, Синий шлем Края
divinerpg:blue_ender_chestplate, Синяя кираса Края
divinerpg:blue_ender_leggings, Синие поножи Края
divinerpg:blue_ender_boots, Синие ботинки Края
divinerpg:gray_ender_helmet, Серый шлем Края
divinerpg:gray_ender_chestplate, Серая кираса Края
divinerpg:gray_ender_leggings, Серые поножи Края
divinerpg:gray_ender_boots, Серые ботинки Края
divinerpg:green_ender_helmet, Зелёный шлем Края
divinerpg:green_ender_chestplate, Зелёная кираса Края
divinerpg:green_ender_leggings, Зелёные поножи Края
divinerpg:green_ender_boots, Зелёные ботинки Края
divinerpg:red_ender_helmet, Красный шлем Края
divinerpg:red_ender_chestplate, Красная кираса Края
divinerpg:red_ender_leggings, Красные поножи Края
divinerpg:red_ender_boots, Красные ботинки Края
divinerpg:yellow_ender_helmet, Жёлтый шлем Края
divinerpg:yellow_ender_chestplate, Жёлтая кираса Края
divinerpg:yellow_ender_leggings, Жёлтые поножи Края
divinerpg:yellow_ender_boots, Жёлтые ботинки Края
divinerpg:frozen_helmet, Замороженный шлем
divinerpg:frozen_chestplate, Замороженная кираса
divinerpg:frozen_leggings, Замороженные поножи
divinerpg:frozen_boots, Замороженные ботинки
divinerpg:inferno_helmet, Адский шлем
divinerpg:inferno_chestplate, Адская кираса
divinerpg:inferno_leggings, Адские поножи
divinerpg:inferno_boots, Адские ботинки
divinerpg:jack_o_man_helmet, Шлем Джек-О-Мена
divinerpg:jack_o_man_chestplate, Кираса Джек-О-Мена
divinerpg:jack_o_man_leggings, Поножи Джек-О-Мена
divinerpg:jack_o_man_boots, Ботинки Джек-О-Мена
divinerpg:jungle_helmet, Шлем джунглей
divinerpg:jungle_chestplate, Кираса джунглей
divinerpg:jungle_leggings, Поножи джунглей
divinerpg:jungle_boots, Ботинки джунглей
divinerpg:kraken_helmet, Шлем Кракена
divinerpg:kraken_chestplate, Кираса Кракена
divinerpg:kraken_leggings, Поножи Кракена
divinerpg:kraken_boots, Ботинки Кракена
divinerpg:netherite_helmet, Незеритовый шлем
divinerpg:netherite_chestplate, Незеритовая кираса
divinerpg:netherite_leggings, Незеритовые поножи
divinerpg:netherite_boots, Незеритовые ботинки
divinerpg:realmite_helmet, Реалмитовый шлем
divinerpg:realmite_chestplate, Реалмитовая кираса
divinerpg:realmite_leggings, Реалмитовые поножи
divinerpg:realmite_boots, Реалмитовые ботинки
divinerpg:rupee_helmet, Рупиевый шлем
divinerpg:rupee_chestplate, Рупиевая кираса
divinerpg:rupee_leggings, Рупиевые поножи
divinerpg:rupee_boots, Рупиевые ботинки
divinerpg:blue_rupee_helmet, Синий рупиевый шлем
divinerpg:blue_rupee_chestplate, Синяя рупиевая кираса
divinerpg:blue_rupee_leggings, Синие рупиевые поножи
divinerpg:blue_rupee_boots, Синие рупиевые ботинки
divinerpg:gray_rupee_helmet, Серый рупиевый шлем
divinerpg:gray_rupee_chestplate, Серая рупиевая кираса
divinerpg:gray_rupee_leggings, Серые рупиевые поножи
divinerpg:gray_rupee_boots, Серые рупиевые ботинки
divinerpg:green_rupee_helmet, Зелёный рупиевый шлем
divinerpg:green_rupee_chestplate, Зелёная рупиевая кираса
divinerpg:green_rupee_leggings, Зелёные рупиевые поножи
divinerpg:green_rupee_boots, Зелёные рупиевые ботинки
divinerpg:red_rupee_helmet, Красный рупиевый шлем
divinerpg:red_rupee_chestplate, Красная рупиевая кираса
divinerpg:red_rupee_leggings, Красные рупиевые поножи
divinerpg:red_rupee_boots, Красные рупиевые ботинки
divinerpg:yellow_rupee_helmet, Жёлтый рупиевый шлем
divinerpg:yellow_rupee_chestplate, Жёлтая рупиевая кираса
divinerpg:yellow_rupee_leggings, Жёлтые рупиевые поножи
divinerpg:yellow_rupee_boots, Жёлтые рупиевые ботинки
divinerpg:shadow_helmet, Шлем тени
divinerpg:shadow_chestplate, Кираса тени
divinerpg:shadow_leggings, Поножи тени
divinerpg:shadow_boots, Ботинки тени
divinerpg:skeleman_helmet, Шлем скелета
divinerpg:skeleman_chestplate, Кираса скелета
divinerpg:skeleman_leggings, Поножи скелета
divinerpg:skeleman_boots, Ботинки скелета
divinerpg:terran_helmet, Земляной шлем
divinerpg:terran_chestplate, Земляная кираса
divinerpg:terran_leggings, Земляные поножи
divinerpg:terran_boots, Земляные ботинки
divinerpg:wither_reaper_helmet, Шлем Увядшего жнеца
divinerpg:wither_reaper_chestplate, Кираса Увядшего жнеца
divinerpg:wither_reaper_leggings, Поножи Увядшего жнеца
divinerpg:wither_reaper_boots, Ботинки Увядшего жнеца
divinerpg:santa_helmet, Шапка Санты
divinerpg:santa_chestplate, Нагрудник Санты
divinerpg:santa_leggings, Поножи Санты
divinerpg:santa_boots, Ботинки Санты
divinerpg:eden_helmet, Шлем Эдема
divinerpg:eden_chestplate, Кираса Эдема
divinerpg:eden_leggings, Поножи Эдема
divinerpg:eden_boots, Ботинки Эдема
divinerpg:wildwood_helmet, Шлем Дикого леса
divinerpg:wildwood_chestplate, Кираса Дикого леса
divinerpg:wildwood_leggings, Поножи Дикого леса
divinerpg:wildwood_boots, Ботинки Дикого леса
divinerpg:apalachia_helmet, Шлем Апалачии
divinerpg:apalachia_chestplate, Кираса Апалачии
divinerpg:apalachia_leggings, Поножи Апалачии
divinerpg:apalachia_boots, Ботинки Апалачии
divinerpg:skythern_helmet, Шлем Небесного тёрна
divinerpg:skythern_chestplate, Кираса Небесного тёрна
divinerpg:skythern_leggings, Поножи Небесного тёрна
divinerpg:skythern_boots, Ботинки Небесного тёрна
divinerpg:mortum_helmet, Шлем Мортума
divinerpg:mortum_chestplate, Кираса Мортума
divinerpg:mortum_leggings, Поножи Мортума
divinerpg:mortum_boots, Ботинки Мортума
divinerpg:halite_helmet, Халитовый шлем
divinerpg:halite_chestplate, Халитовая кираса
divinerpg:halite_leggings, Халитовые поножи
divinerpg:halite_boots, Халитовые ботинки
divinerpg:awakened_halite_helmet, Пробужденный халитовый шлем
divinerpg:awakened_halite_chestplate, Пробужденный халитовый нагрудник
divinerpg:awakened_halite_leggings, Пробужденные халитовые поножи
divinerpg:awakened_halite_boots, Пробужденные халитовые ботинки
divinerpg:korma_helmet, Шлем Кормы
divinerpg:korma_chestplate, Кираса Кормы
divinerpg:korma_leggings, Поножи Кормы
divinerpg:korma_boots, Ботинки Кормы
divinerpg:vemos_helmet, Шлем Вемоса
divinerpg:vemos_chestplate, Кираса Вемоса
divinerpg:vemos_leggings, Поножи Вемоса
divinerpg:vemos_boots, Ботинки Вемоса
divinerpg:degraded_helmet, Попранный шлем
divinerpg:degraded_hood, Попранный капюшон
divinerpg:degraded_mask, Попранная маска
divinerpg:degraded_chestplate, Попранная кираса
divinerpg:degraded_leggings, Попранные поножи
divinerpg:degraded_boots, Попранные ботинки
divinerpg:finished_helmet, Законченный шлем
divinerpg:finished_hood, Законченный капюшон
divinerpg:finished_mask, Законченная маска
divinerpg:finished_chestplate, Законченная кираса
divinerpg:finished_leggings, Законченные поножи
divinerpg:finished_boots, Законченные ботинки
divinerpg:glistening_helmet, Сверкающий шлем
divinerpg:glistening_hood, Сверкающий капюшон
divinerpg:glistening_mask, Сверкающая маска
divinerpg:glistening_chestplate, Сверкающая кираса
divinerpg:glistening_leggings, Сверкающие поножи
divinerpg:glistening_boots, Сверкающие ботинки
divinerpg:demonized_helmet, Демонический шлем
divinerpg:demonized_hood, Демонический капюшон
divinerpg:demonized_mask, Демоническая маска
divinerpg:demonized_chestplate, Демоническая кираса
divinerpg:demonized_leggings, Демонические поножи
divinerpg:demonized_boots, Демонические ботинки
divinerpg:tormented_helmet, Измученный шлем
divinerpg:tormented_hood, Измученный капюшон
divinerpg:tormented_mask, Измученная маска
divinerpg:tormented_chestplate, Измученная кираса
divinerpg:tormented_leggings, Измученные поножи
divinerpg:tormented_boots, Измученные ботинки
divinerpg:arlemite_shovel, Арлемитовая лопата
divinerpg:arlemite_pickaxe, Арлемитовая кирка
divinerpg:arlemite_axe, Арлемитовый топор
divinerpg:arlemite_hoe, Арлемитовая мотыга
divinerpg:arlemite_shickaxe, Арлемитовый мультиинструмент
divinerpg:bedrock_shovel, Лопата из коренной породы
divinerpg:bedrock_pickaxe, Кирка из коренной породы
divinerpg:bedrock_axe, Топор из коренной породы
divinerpg:corrupted_shovel, Повреждённая лопата
divinerpg:corrupted_pickaxe, Повреждённая кирка
divinerpg:corrupted_axe, Повреждённый топор
divinerpg:divine_shovel, Божественная лопата
divinerpg:divine_pickaxe, Божественная кирка
divinerpg:divine_axe, Божественный топор
divinerpg:divine_shickaxe, Божественный мультиинструмент
divinerpg:realmite_shovel, Реалмитовая лопата
divinerpg:realmite_pickaxe, Реалмитовая кирка
divinerpg:realmite_axe, Реалмитовый топор
divinerpg:realmite_hoe, Реалмитовая мотыга
divinerpg:rupee_shovel, Рупиевая лопата
divinerpg:rupee_pickaxe, Рупиевая кирка
divinerpg:rupee_axe, Рупиевый топор
divinerpg:rupee_hoe, Рупиевая мотыга
divinerpg:rupee_shickaxe, Рупиевый мультиинструмент
divinerpg:eden_shovel, Лопата Эдема
divinerpg:eden_pickaxe, Кирка Эдема
divinerpg:eden_axe, Топор Эдема
divinerpg:wildwood_shovel, Лопата Дикого леса
divinerpg:wildwood_pickaxe, Кирка Дикого леса
divinerpg:wildwood_axe, Топор Дикого леса
divinerpg:apalachia_shovel, Лопата Апалачии
divinerpg:apalachia_pickaxe, Кирка Апалачии
divinerpg:apalachia_axe, Топор Апалачии
divinerpg:skythern_shovel, Лопата Небесного тёрна
divinerpg:skythern_pickaxe, Кирка Небесного тёрна
divinerpg:skythern_axe, Топор Небесного тёрна
divinerpg:mortum_shovel, Лопата Мортума
divinerpg:mortum_pickaxe, Кирка Мортума
divinerpg:mortum_axe, Топор Мортума
divinerpg:dream_shovel, Лопата мечты
divinerpg:dream_pickaxe, Кирка мечты
divinerpg:dream_axe, Топор мечты
mocreatures:mocstone:0, Камень логова виверны
mocreatures:mocstone:1, Камень логова огра
mocreatures:mocgrass:0, Трава логова виверны
mocreatures:mocgrass:1, Трава логова огра
mocreatures:mocdirt:0, Земля логова виверны
mocreatures:mocdirt:1, Земля логова огра
mocreatures:mocleaves:0, Листва логова виверны
mocreatures:mocleaves:1, Листва логова огра
mocreatures:moclog:0, Древесина логова виверны
mocreatures:moclog:1, Древесина логова огра
mocreatures:moctallgrass:0, Высокая трава логова виверны
mocreatures:moctallgrass:1, Высокая трава логова огра
mocreatures:mocwoodplank:0, Доски логова виверны
mocreatures:mocwoodplank:1, Доски логова огра
mocreatures:kittybed_white, White Kitty Bed
mocreatures:kittybed_orange, Orange Kitty Bed
mocreatures:kittybed_magenta, Magenta Kitty Bed
mocreatures:kittybed_light_blue, item.kittybed_light_blue.name
mocreatures:kittybed_yellow, Yellow Kitty Bed
mocreatures:kittybed_lime, Lime Kitty Bed
mocreatures:kittybed_pink, Pink Kitty Bed
mocreatures:kittybed_gray, Gray Kitty Bed
mocreatures:kittybed_silver, Silver Kitty Bed
mocreatures:kittybed_cyan, Cyan Kitty Bed
mocreatures:kittybed_purple, Purple Kitty Bed
mocreatures:kittybed_blue, Blue Kitty Bed
mocreatures:kittybed_brown, Brown Kitty Bed
mocreatures:kittybed_green, Green Kitty Bed
mocreatures:kittybed_red, Red Kitty Bed
mocreatures:kittybed_black, Black Kitty Bed
mocreatures:horsesaddle, Сделанное седло
mocreatures:sharkteeth, Акулий зуб
mocreatures:haystack, Стог сена
mocreatures:sugarlump, Кубик сахара
mocreatures:mocegg:0, Синяя рыбья икра
mocreatures:mocegg:1, Оранжевая рыбья икра
mocreatures:mocegg:2, Бирюзовая рыбья икра
mocreatures:mocegg:3, Лаймовая рыбья икра
mocreatures:mocegg:4, Зелёная рыбья икра
mocreatures:mocegg:5, Фиолетовая рыбья икра
mocreatures:mocegg:6, Жёлтая рыбья икра
mocreatures:mocegg:7, Полосатая рыбья икра
mocreatures:mocegg:8, Желтоватая рыбья икра
mocreatures:mocegg:9, Чёрная рыбья икра
mocreatures:mocegg:80, Икра анчоуса
mocreatures:mocegg:81, Икра скалярии
mocreatures:mocegg:82, Икра морского чёрта
mocreatures:mocegg:83, Икра рыбы клоуна
mocreatures:mocegg:84, Икра золотой рыбы
mocreatures:mocegg:85, Икра голубого хирурга
mocreatures:mocegg:86, Икра окуня-ауха
mocreatures:mocegg:70, Икра лосося
mocreatures:mocegg:71, Икра трески
mocreatures:mocegg:72, Икра басса
mocreatures:mocegg:90, Икра пираньи
mocreatures:mocegg:11, Яйцо акулы
mocreatures:mocegg:21, Тёмное змеиное яйцо
mocreatures:mocegg:22, Пятнистое змеиное яйцо
mocreatures:mocegg:23, Оранжевое змеиное яйцо
mocreatures:mocegg:24, Зелёное змеиное яйцо
mocreatures:mocegg:25, Коралловое змеиное яйцо
mocreatures:mocegg:26, Яйцо кобры
mocreatures:mocegg:27, Яйцо гремучей змеи
mocreatures:mocegg:30, Яйцо страуса
mocreatures:mocegg:31, Яйцо страуса
mocreatures:mocegg:33, Яйцо комодского варана
mocreatures:mocegg:41, Яйцо земляного скорпиона
mocreatures:mocegg:42, Яйцо пещерного скорпиона
mocreatures:mocegg:43, Яйцо скорпиона Нижнего мира
mocreatures:mocegg:44, Яйцо морозного скорпиона
mocreatures:mocegg:45, Яйцо скорпиона-нежити
mocreatures:mocegg:50, Яйцо тропической виверны
mocreatures:mocegg:51, Яйцо болотной виверны
mocreatures:mocegg:52, Яйцо виверны саванны
mocreatures:mocegg:53, Яйцо песчаной виверны
mocreatures:mocegg:54, Яйцо виверны-матери
mocreatures:mocegg:55, Яйцо виверны-нежити
mocreatures:mocegg:56, Яйцо светлой виверны
mocreatures:mocegg:57, Яйцо тёмной виверны
mocreatures:mocegg:58, Яйцо арктической виверны
mocreatures:mocegg:59, Яйцо пещерной виверны
mocreatures:mocegg:60, Яйцо горной виверны
mocreatures:mocegg:61, Яйцо морской виверны
mocreatures:mocegg:62, Fire Manticore Egg
mocreatures:mocegg:63, Dark Manticore Egg
mocreatures:mocegg:64, Snow Manticore Egg
mocreatures:bigcatclaw, Коготь льва
mocreatures:whip, Кнут
mocreatures:medallion, Медальон
mocreatures:kittylitter, Кошачий туалет
mocreatures:woolball, Клубок шерсти
mocreatures:petfood, Еда питомца
mocreatures:reptilehide, Кожа рептилии
mocreatures:reptileplate, Кираса из кожи рептилии
mocreatures:reptilehelmet, Шлем из кожи рептилии
mocreatures:reptilelegs, Поножи из кожи рептилии
mocreatures:reptileboots, Ботинки из кожи рептилии
mocreatures:fur, Мех
mocreatures:omelet, Омлет
mocreatures:turtleraw, Сырой черепаха
mocreatures:turtlesoup, Суп из черепахи
mocreatures:staffportal, Посох портала виверны
mocreatures:staffteleport, Посох телепортации
mocreatures:builderhammer, Молот строителя
mocreatures:nunchaku, Нунчаки
mocreatures:sai, Сай
mocreatures:bo, Bo
mocreatures:katana, Катана
mocreatures:sharksword, Акулий меч
mocreatures:silversword, Серебрянный меч
mocreatures:essencedarkness, Эссенция тьмы
mocreatures:essencefire, Эссенция огня
mocreatures:essenceundead, Эссенция нежити
mocreatures:essencelight, Эссенция света
mocreatures:amuletbone:0, Костный амулет
mocreatures:amuletbonefull:0, Костный амулет
mocreatures:amuletghost:0, Призрачный амулет
mocreatures:amuletghostfull:0, Призрачный амулет
mocreatures:amuletfairy:0, Волшебный амулет
mocreatures:amuletfairyfull:0, Волшебный амулет
mocreatures:amuletpegasus:0, Небесный амулет
mocreatures:amuletpegasusfull:0, Небесный амулет
mocreatures:fishnet:0, Рыболовная сеть
mocreatures:fishnetfull:0, Рыболовная сеть
mocreatures:petamulet:0, Амулет питомца
mocreatures:petamuletfull:0, Амулет питомца
mocreatures:furchest, Меховая кираса
mocreatures:furhelmet, Меховой шлем
mocreatures:furlegs, Меховые поножи
mocreatures:furboots, Меховые ботинки
mocreatures:heartdarkness, Сердце тьмы
mocreatures:heartfire, Сердце огня
mocreatures:heartundead, Сердце нежити
mocreatures:ostrichraw, Сырой страус
mocreatures:ostrichcooked, Приготовленный страус
mocreatures:unicornhorn, Рог единорога
mocreatures:horsearmorcrystal, Кристальная горная броня
mocreatures:recordshuffle, Пластинка зебры
mocreatures:hide, Шкура
mocreatures:turkeyraw, Сырой индюк
mocreatures:turkeycooked, Приготовленный индюк
mocreatures:hidechest, Кираса из шкуры
mocreatures:hidehelmet, Шлем из шкуры
mocreatures:hidelegs, Поножи из шкуры
mocreatures:hideboots, Ботинки из шкуры
mocreatures:ratraw, Сырая крыса
mocreatures:ratcooked, Приготовленная крыса
mocreatures:ratburger, Крысбургер
mocreatures:chitinblack, Чёрный хитин
mocreatures:chitinfrost, Морозный хитин
mocreatures:chitinnether, Хитин Нижнего мира
mocreatures:chitin, Хитин
mocreatures:scorpsworddirt, Меч земляного скорпиона
mocreatures:scorpswordfrost, Меч морозного скорпиона
mocreatures:scorpswordcave, Меч пещерного скорпиона
mocreatures:scorpswordnether, Меч скорпиона Нижнего мира
mocreatures:scorpplatedirt, Кираса земляного скорпиона
mocreatures:scorphelmetdirt, Шлем земляного скорпиона
mocreatures:scorplegsdirt, Поножи земляного скорпиона
mocreatures:scorpbootsdirt, Ботинки земляного скорпиона
mocreatures:scorpplatefrost, Кираса морозного скорпиона
mocreatures:scorphelmetfrost, Шлем морозного скорпиона
mocreatures:scorplegsfrost, Поножи морозного скорпиона
mocreatures:scorpbootsfrost, Ботинки морозного скорпиона
mocreatures:scorpplatenether, Кираса скорпиона Нижнего мира
mocreatures:scorphelmetnether, Шлем скорпиона Нижнего мира
mocreatures:scorplegsnether, Поножи скорпиона Нижнего мира
mocreatures:scorpbootsnether, Ботинки скорпиона Нижнего мира
mocreatures:scorphelmetcave, Шлем пещерного скорпиона
mocreatures:scorpplatecave, Кираса пещерного скорпиона
mocreatures:scorplegscave, Поножи пещерного скорпиона
mocreatures:scorpbootscave, Ботинки пещерного скорпиона
mocreatures:scorpstingdirt, Жало земляного скорпиона
mocreatures:scorpstingfrost, Жало морозного скорпиона
mocreatures:scorpstingcave, Жало пещерного скорпиона
mocreatures:scorpstingnether, Жало скорпиона Нижнего мира
mocreatures:tuskswood, Деревянные бивни
mocreatures:tusksiron, Железные бивни
mocreatures:tusksdiamond, Алмазные бивни
mocreatures:elephantchest, Сундук слона
mocreatures:elephantgarment, Одеяние слона
mocreatures:elephantharness, Упряжь слона
mocreatures:elephanthowdah, Паланкин слона
mocreatures:mammothplatform, Платформа для мамонта
mocreatures:scrolloffreedom, Свиток свободы
mocreatures:scrollofsale, Свиток продажи
mocreatures:scrollofowner, Свиток сброса владельца
mocreatures:crabraw, Сырой краб
mocreatures:crabcooked, Приготовленный краб
eplus:advanced_table, Advanced Enchantment Table
eplus:decorative_book:0, Enchanting Plus Book
eplus:decorative_book:1, Enchanting Book
eplus:decorative_book:2, Prismarine Book
eplus:decorative_book:3, Nether Book
eplus:decorative_book:4, Tartarite Book
eplus:decorative_book:5, Pale Book
eplus:decorative_book:6, Metal Book
eplus:table_upgrade, Table Upgrade
energyconverters:energy_bridge, Энергомост
energyconverters:energy_producer_fe, Производитель энергии FE
energyconverters:energy_consumer_fe, Потребитель энергии FE
energyconverters:energy_producer_eu:0, Производитель энергии низкого напряжения (IC2)
energyconverters:energy_producer_eu:1, Производитель энергии среднего напряжения (IC2)
energyconverters:energy_producer_eu:2, Производитель энергии высокого напряжения (IC2)
energyconverters:energy_producer_eu:3, Производитель энергии сверхвысокого напряжения (IC2)
energyconverters:energy_producer_eu:4, Производитель энергии ультравысокого напряжения (IC2)
energyconverters:energy_consumer_eu:0, Потребитель энергии низкого напряжения (IC2)
energyconverters:energy_consumer_eu:1, Потребитель энергии среднего напряжения (IC2)
energyconverters:energy_consumer_eu:2, Потребитель энергии высокого напряжения (IC2)
energyconverters:energy_consumer_eu:3, Потребитель энергии сверхвысокого напряжения EV (IC2)
energyconverters:energy_consumer_eu:4, Потребитель энергии ультравысокого напряжения IV (IC2)
energyconverters:energy_producer_rf, Производитель энергии RF
energyconverters:energy_consumer_rf, Потребитель энергии RF
energyconverters:energy_producer_mj, Производитель энергии MJ
energyconverters:energy_consumer_mj, Потребитель энергии MJ
zerocore:debugtool, Debug Tool
